Date,Open,High,Low,Close,Adj Close,Volume
2021-04-01,6.938000,7.012000,6.914000,6.991000,6.991000,134136008
2021-04-02,7.000000,7.026000,6.968000,7.007000,7.007000,123722940
2021-04-06,7.023000,7.069000,7.000000,7.021000,7.021000,142058315
2021-04-07,7.027000,7.035000,6.962000,7.032000,7.032000,157780486
2021-04-08,7.025000,7.075000,6.987000,7.053000,7.053000,155170692
2021-04-09,7.037000,7.058000,6.998000,7.029000,7.029000,88679278
2021-04-12,7.016000,7.029000,6.886000,6.915000,6.915000,258647480
2021-04-13,6.899000,6.943000,6.877000,6.893000,6.893000,164238300
2021-04-14,6.892000,6.980000,6.892000,6.956000,6.956000,165268400
2021-04-15,6.946000,6.972000,6.889000,6.963000,6.963000,164508280
2021-04-16,6.982000,7.052000,6.963000,7.050000,7.050000,250504279
2021-04-19,7.039000,7.138000,7.012000,7.122000,7.122000,176484342
2021-04-20,7.109000,7.169000,7.102000,7.136000,7.136000,153398059
2021-04-21,7.106000,7.142000,7.068000,7.117000,7.117000,91202060
2021-04-22,7.133000,7.175000,7.120000,7.143000,7.143000,171741285
2021-04-23,7.141000,7.180000,7.108000,7.178000,7.178000,90258642
2021-04-26,7.173000,7.266000,7.141000,7.148000,7.148000,157553156
